2016-03-20 11:17:32 startup archives install
2016-03-20 11:17:32 install base-files:armhf <none> 1:2016.2.0
2016-03-20 11:17:32 status half-installed base-files:armhf 1:2016.2.0
2016-03-20 11:17:32 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:32 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:33 install base-passwd:armhf <none> 3.5.39
2016-03-20 11:17:33 status half-installed base-passwd:armhf 3.5.39
2016-03-20 11:17:33 status unpacked base-passwd:armhf 3.5.39
2016-03-20 11:17:33 status unpacked base-passwd:armhf 3.5.39
2016-03-20 11:17:33 configure base-files:armhf 1:2016.2.0 1:2016.2.0
2016-03-20 11:17:33 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:33 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:33 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:33 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:33 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:33 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:33 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:33 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:33 status half-configured base-files:armhf 1:2016.2.0
2016-03-20 11:17:35 status installed base-files:armhf 1:2016.2.0
2016-03-20 11:17:35 configure base-passwd:armhf 3.5.39 3.5.39
2016-03-20 11:17:35 status unpacked base-passwd:armhf 3.5.39
2016-03-20 11:17:35 status half-configured base-passwd:armhf 3.5.39
2016-03-20 11:17:37 status installed base-passwd:armhf 3.5.39
2016-03-20 11:17:37 startup archives install
2016-03-20 11:17:37 upgrade dpkg 1.18.4 1.18.4
2016-03-20 11:17:37 status half-configured dpkg 1.18.4
2016-03-20 11:17:37 status unpacked dpkg 1.18.4
2016-03-20 11:17:37 status half-installed dpkg 1.18.4
2016-03-20 11:17:38 status half-installed dpkg 1.18.4
2016-03-20 11:17:38 status unpacked dpkg:armhf 1.18.4
2016-03-20 11:17:39 status unpacked dpkg:armhf 1.18.4
2016-03-20 11:17:39 configure dpkg:armhf 1.18.4 1.18.4
2016-03-20 11:17:39 status unpacked dpkg:armhf 1.18.4
2016-03-20 11:17:39 status unpacked dpkg:armhf 1.18.4
2016-03-20 11:17:39 status unpacked dpkg:armhf 1.18.4
2016-03-20 11:17:39 status unpacked dpkg:armhf 1.18.4
2016-03-20 11:17:39 status unpacked dpkg:armhf 1.18.4
2016-03-20 11:17:39 status half-configured dpkg:armhf 1.18.4
2016-03-20 11:17:39 status installed dpkg:armhf 1.18.4
2016-03-20 11:17:39 startup archives install
2016-03-20 11:17:39 install libc6:armhf <none> 2.22-3
2016-03-20 11:17:39 status half-installed libc6:armhf 2.22-3
2016-03-20 11:17:44 status unpacked libc6:armhf 2.22-3
2016-03-20 11:17:44 status unpacked libc6:armhf 2.22-3
2016-03-20 11:17:44 configure libc6:armhf 2.22-3 2.22-3
2016-03-20 11:17:44 status unpacked libc6:armhf 2.22-3
2016-03-20 11:17:44 status unpacked libc6:armhf 2.22-3
2016-03-20 11:17:44 status half-configured libc6:armhf 2.22-3
2016-03-20 11:17:46 status installed libc6:armhf 2.22-3
2016-03-20 11:17:46 startup archives install
2016-03-20 11:17:46 install perl-base:armhf <none> 5.22.1-9
2016-03-20 11:17:46 status half-installed perl-base:armhf 5.22.1-9
2016-03-20 11:17:49 status unpacked perl-base:armhf 5.22.1-9
2016-03-20 11:17:49 status unpacked perl-base:armhf 5.22.1-9
2016-03-20 11:17:49 configure perl-base:armhf 5.22.1-9 5.22.1-9
2016-03-20 11:17:49 status unpacked perl-base:armhf 5.22.1-9
2016-03-20 11:17:49 status half-configured perl-base:armhf 5.22.1-9
2016-03-20 11:17:49 status installed perl-base:armhf 5.22.1-9
2016-03-20 11:17:49 startup archives install
2016-03-20 11:17:49 install mawk:armhf <none> 1.3.3-17+b1
2016-03-20 11:17:49 status half-installed mawk:armhf 1.3.3-17+b1
2016-03-20 11:17:50 status unpacked mawk:armhf 1.3.3-17+b1
2016-03-20 11:17:50 status unpacked mawk:armhf 1.3.3-17+b1
2016-03-20 11:17:50 configure mawk:armhf 1.3.3-17+b1 1.3.3-17+b1
2016-03-20 11:17:50 status unpacked mawk:armhf 1.3.3-17+b1
2016-03-20 11:17:50 status half-configured mawk:armhf 1.3.3-17+b1
2016-03-20 11:17:50 status installed mawk:armhf 1.3.3-17+b1
2016-03-20 11:17:50 startup archives install
2016-03-20 11:17:50 install debconf:all <none> 1.5.59
2016-03-20 11:17:50 status half-installed debconf:all 1.5.59
2016-03-20 11:17:51 status unpacked debconf:all 1.5.59
2016-03-20 11:17:51 status unpacked debconf:all 1.5.59
2016-03-20 11:17:51 configure debconf:all 1.5.59 1.5.59
2016-03-20 11:17:51 status unpacked debconf:all 1.5.59
2016-03-20 11:17:51 status unpacked debconf:all 1.5.59
2016-03-20 11:17:51 status unpacked debconf:all 1.5.59
2016-03-20 11:17:51 status half-configured debconf:all 1.5.59
2016-03-20 11:17:53 status installed debconf:all 1.5.59
2016-03-20 11:17:57 startup archives unpack
2016-03-20 11:17:58 install adduser:all <none> 3.114
2016-03-20 11:17:58 status half-installed adduser:all 3.114
2016-03-20 11:17:58 status unpacked adduser:all 3.114
2016-03-20 11:17:58 status unpacked adduser:all 3.114
2016-03-20 11:17:58 upgrade base-files:armhf 1:2016.2.0 1:2016.2.0
2016-03-20 11:17:58 status half-configured base-files:armhf 1:2016.2.0
2016-03-20 11:17:58 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:58 status half-installed base-files:armhf 1:2016.2.0
2016-03-20 11:17:58 status half-installed base-files:armhf 1:2016.2.0
2016-03-20 11:17:58 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:58 status unpacked base-files:armhf 1:2016.2.0
2016-03-20 11:17:59 upgrade base-passwd:armhf 3.5.39 3.5.39
2016-03-20 11:17:59 status half-configured base-passwd:armhf 3.5.39
2016-03-20 11:17:59 status unpacked base-passwd:armhf 3.5.39
2016-03-20 11:17:59 status half-installed base-passwd:armhf 3.5.39
2016-03-20 11:17:59 status half-installed base-passwd:armhf 3.5.39
2016-03-20 11:17:59 status unpacked base-passwd:armhf 3.5.39
2016-03-20 11:17:59 status unpacked base-passwd:armhf 3.5.39
2016-03-20 11:17:59 install bash:armhf <none> 4.3-14+b1
2016-03-20 11:17:59 status half-installed bash:armhf 4.3-14+b1
2016-03-20 11:18:09 status unpacked bash:armhf 4.3-14+b1
2016-03-20 11:18:09 status unpacked bash:armhf 4.3-14+b1
2016-03-20 11:18:09 install bsdutils:armhf <none> 1:2.27.1-5kali1
2016-03-20 11:18:09 status half-installed bsdutils:armhf 1:2.27.1-5kali1
2016-03-20 11:18:09 status unpacked bsdutils:armhf 1:2.27.1-5kali1
2016-03-20 11:18:09 status unpacked bsdutils:armhf 1:2.27.1-5kali1
2016-03-20 11:18:09 install coreutils:armhf <none> 8.25-2
2016-03-20 11:18:09 status half-installed coreutils:armhf 8.25-2
2016-03-20 11:18:12 status unpacked coreutils:armhf 8.25-2
2016-03-20 11:18:12 status unpacked coreutils:armhf 8.25-2
2016-03-20 11:18:13 install dash:armhf <none> 0.5.8-2.1
2016-03-20 11:18:13 status half-installed dash:armhf 0.5.8-2.1
2016-03-20 11:18:13 status unpacked dash:armhf 0.5.8-2.1
2016-03-20 11:18:13 status unpacked dash:armhf 0.5.8-2.1
2016-03-20 11:18:14 upgrade debconf:all 1.5.59 1.5.59
2016-03-20 11:18:14 status half-configured debconf:all 1.5.59
2016-03-20 11:18:14 status unpacked debconf:all 1.5.59
2016-03-20 11:18:14 status half-installed debconf:all 1.5.59
2016-03-20 11:18:20 status half-installed debconf:all 1.5.59
2016-03-20 11:18:21 status unpacked debconf:all 1.5.59
2016-03-20 11:18:21 status unpacked debconf:all 1.5.59
2016-03-20 11:18:21 install debconf-i18n:all <none> 1.5.59
2016-03-20 11:18:21 status half-installed debconf-i18n:all 1.5.59
2016-03-20 11:18:21 status unpacked debconf-i18n:all 1.5.59
2016-03-20 11:18:21 status unpacked debconf-i18n:all 1.5.59
2016-03-20 11:18:22 install debianutils:armhf <none> 4.7
2016-03-20 11:18:22 status half-installed debianutils:armhf 4.7
2016-03-20 11:18:22 status unpacked debianutils:armhf 4.7
2016-03-20 11:18:22 status unpacked debianutils:armhf 4.7
2016-03-20 11:18:22 install diffutils:armhf <none> 1:3.3-3
2016-03-20 11:18:22 status half-installed diffutils:armhf 1:3.3-3
2016-03-20 11:18:23 status unpacked diffutils:armhf 1:3.3-3
2016-03-20 11:18:23 status unpacked diffutils:armhf 1:3.3-3
2016-03-20 11:18:23 install dmsetup:armhf <none> 2:1.02.116-1+b1
2016-03-20 11:18:23 status half-installed dmsetup:armhf 2:1.02.116-1+b1
2016-03-20 11:18:23 status unpacked dmsetup:armhf 2:1.02.116-1+b1
2016-03-20 11:18:23 status unpacked dmsetup:armhf 2:1.02.116-1+b1
2016-03-20 11:18:23 upgrade dpkg:armhf 1.18.4 1.18.4
2016-03-20 11:18:23 status half-configured dpkg:armhf 1.18.4
2016-03-20 11:18:23 status unpacked dpkg:armhf 1.18.4
2016-03-20 11:18:23 status half-installed dpkg:armhf 1.18.4
2016-03-20 11:18:24 status half-installed dpkg:armhf 1.18.4
2016-03-20 11:18:24 status unpacked dpkg:armhf 1.18.4
2016-03-20 11:18:25 status unpacked dpkg:armhf 1.18.4
2016-03-20 11:18:25 install e2fslibs:armhf <none> 1.42.13-1
2016-03-20 11:18:25 status half-installed e2fslibs:armhf 1.42.13-1
2016-03-20 11:18:25 status unpacked e2fslibs:armhf 1.42.13-1
2016-03-20 11:18:25 status unpacked e2fslibs:armhf 1.42.13-1
2016-03-20 11:18:25 install e2fsprogs:armhf <none> 1.42.13-1
2016-03-20 11:18:25 status half-installed e2fsprogs:armhf 1.42.13-1
2016-03-20 11:18:26 status unpacked e2fsprogs:armhf 1.42.13-1
2016-03-20 11:18:26 status unpacked e2fsprogs:armhf 1.42.13-1
2016-03-20 11:18:26 install findutils:armhf <none> 4.6.0+git+20160126-2
2016-03-20 11:18:26 status half-installed findutils:armhf 4.6.0+git+20160126-2
2016-03-20 11:18:27 status unpacked findutils:armhf 4.6.0+git+20160126-2
2016-03-20 11:18:27 status unpacked findutils:armhf 4.6.0+git+20160126-2
2016-03-20 11:18:27 install gcc-4.8-base:armhf <none> 4.8.5-4
2016-03-20 11:18:27 status half-installed gcc-4.8-base:armhf 4.8.5-4
2016-03-20 11:18:28 status unpacked gcc-4.8-base:armhf 4.8.5-4
2016-03-20 11:18:28 status unpacked gcc-4.8-base:armhf 4.8.5-4
2016-03-20 11:18:28 install gcc-4.9-base:armhf <none> 4.9.3-12
2016-03-20 11:18:28 status half-installed gcc-4.9-base:armhf 4.9.3-12
2016-03-20 11:18:28 status unpacked gcc-4.9-base:armhf 4.9.3-12
2016-03-20 11:18:28 status unpacked gcc-4.9-base:armhf 4.9.3-12
2016-03-20 11:18:28 install gcc-5-base:armhf <none> 5.3.1-11
2016-03-20 11:18:28 status half-installed gcc-5-base:armhf 5.3.1-11
2016-03-20 11:18:29 status unpacked gcc-5-base:armhf 5.3.1-11
2016-03-20 11:18:29 status unpacked gcc-5-base:armhf 5.3.1-11
2016-03-20 11:18:29 install grep:armhf <none> 2.22-1
2016-03-20 11:18:29 status half-installed grep:armhf 2.22-1
2016-03-20 11:18:30 status unpacked grep:armhf 2.22-1
2016-03-20 11:18:30 status unpacked grep:armhf 2.22-1
2016-03-20 11:18:30 install gzip:armhf <none> 1.6-4
2016-03-20 11:18:30 status half-installed gzip:armhf 1.6-4
2016-03-20 11:18:30 status unpacked gzip:armhf 1.6-4
2016-03-20 11:18:30 status unpacked gzip:armhf 1.6-4
2016-03-20 11:18:30 install hostname:armhf <none> 3.17
2016-03-20 11:18:30 status half-installed hostname:armhf 3.17
2016-03-20 11:18:30 status unpacked hostname:armhf 3.17
2016-03-20 11:18:30 status unpacked hostname:armhf 3.17
2016-03-20 11:18:30 install init:armhf <none> 1.29+kali1
2016-03-20 11:18:30 status half-installed init:armhf 1.29+kali1
2016-03-20 11:18:31 status unpacked init:armhf 1.29+kali1
2016-03-20 11:18:31 status unpacked init:armhf 1.29+kali1
2016-03-20 11:18:31 install init-system-helpers:all <none> 1.29+kali1
2016-03-20 11:18:31 status half-installed init-system-helpers:all 1.29+kali1
2016-03-20 11:18:31 status unpacked init-system-helpers:all 1.29+kali1
2016-03-20 11:18:31 status unpacked init-system-helpers:all 1.29+kali1
2016-03-20 11:18:31 install initscripts:armhf <none> 2.88dsf-59.3
2016-03-20 11:18:31 status half-installed initscripts:armhf 2.88dsf-59.3
2016-03-20 11:18:32 status unpacked initscripts:armhf 2.88dsf-59.3
2016-03-20 11:18:32 status unpacked initscripts:armhf 2.88dsf-59.3
2016-03-20 11:18:32 install insserv:armhf <none> 1.14.0-5.3
2016-03-20 11:18:32 status half-installed insserv:armhf 1.14.0-5.3
2016-03-20 11:18:32 status unpacked insserv:armhf 1.14.0-5.3
2016-03-20 11:18:32 status unpacked insserv:armhf 1.14.0-5.3
2016-03-20 11:18:33 install libacl1:armhf <none> 2.2.52-3
2016-03-20 11:18:33 status half-installed libacl1:armhf 2.2.52-3
2016-03-20 11:18:33 status unpacked libacl1:armhf 2.2.52-3
2016-03-20 11:18:33 status unpacked libacl1:armhf 2.2.52-3
2016-03-20 11:18:33 install libapparmor1:armhf <none> 2.10-3+b1
2016-03-20 11:18:33 status half-installed libapparmor1:armhf 2.10-3+b1
2016-03-20 11:18:33 status unpacked libapparmor1:armhf 2.10-3+b1
2016-03-20 11:18:33 status unpacked libapparmor1:armhf 2.10-3+b1
2016-03-20 11:18:33 install libattr1:armhf <none> 1:2.4.47-2
2016-03-20 11:18:33 status half-installed libattr1:armhf 1:2.4.47-2
2016-03-20 11:18:33 status unpacked libattr1:armhf 1:2.4.47-2
2016-03-20 11:18:33 status unpacked libattr1:armhf 1:2.4.47-2
2016-03-20 11:18:33 install libaudit-common:all <none> 1:2.4.5-1
2016-03-20 11:18:33 status half-installed libaudit-common:all 1:2.4.5-1
2016-03-20 11:18:34 status unpacked libaudit-common:all 1:2.4.5-1
2016-03-20 11:18:34 status unpacked libaudit-common:all 1:2.4.5-1
